platform,category,bucket_month,window_days,n_reviews,n_urls,reliability_flag,V,R,M,Diversity,Q,NS,dNS,CT_shift,rz_V,rz_R,rz_M,rz_Diversity,rz_Q,rz_NS,rz_dNS,rz_CT,rem_score_raw,rem_score
coupang,Appliances,2023-11-01,30,48,26,low_conf,3.8918202981106265,0.6214234641709195,-0.1603426500751794,0.9314236111111112,4.704161764705883,0.02,0.0059523809523809,0.534965034965035,0.391315919796763,0.6487986879127523,0.4403615451086975,-0.1246042845428839,-2.2209073784748794,-1.880939638140092,0.0190947505021094,0.6851575369798163,-0.209849567769204,46.5
coupang,Appliances,2023-12-01,30,64,32,low_conf,4.174387269895637,0.6321847683641493,-0.060624621816435,0.9541015625,4.498607142857144,0.106060606060606,-0.0519480519480519,0.1964809384164222,0.2112406234519468,0.348333812534219,0.1863774307974685,-0.4355261332994748,-0.4867709972727753,-0.3506228495161737,-0.4752893073232972,-0.3060184489797752,-0.1804038438892923,46.99
coupang,Appliances,2024-01-01,30,74,35,low_conf,4.31748811353631,0.6296618521948637,-0.2646925542270821,0.9565376186997808,4.254074468085107,0.1447368421052631,0.0401069518716577,0.2529761904761904,0.1200448029956424,0.4187758034661161,0.7061431539840067,-0.468925230260319,1.5761989515464638,0.3371121787293789,0.3107242689444744,-0.3796284426787253,0.3775445202507453,56.29
coupang,Appliances,2024-02-01,30,79,41,low_conf,4.382026634673881,0.6612872046582176,0.3237870770938968,0.9649094696362762,4.412959595959596,0.1358024691358024,0.1017857142857142,0.2700922266139657,0.0789154620606845,-0.4642312573957072,-0.7927280186732872,-0.5837059406539876,0.2357840379773925,0.1782424986650184,0.8373696723794884,-0.3673029821348697,-0.0620512292680099,48.97
coupang,Appliances,2024-03-01,30,99,36,low_conf,4.605170185988092,0.6222074904552517,-0.3398678256223513,0.9486787062544638,4.410781512605041,0.1089108910891089,0.0395348837209302,0.1799831791421362,-0.0632902631042293,0.6269079992392026,0.8976163013861104,-0.361177067967699,0.2541591713237207,-0.299939508657412,0.3058396530695688,-0.5346440829557291,0.1746290257535815,52.91
coupang,Appliances,2024-04-01,30,87,40,low_conf,4.477336814478207,0.6625146335245299,0.11247798342669,0.945435328312855,4.42881308411215,0.1011235955056179,0.0319767441860465,0.2513255567338282,0.0181758477861612,-0.4985021277967661,-0.2545188910146912,-0.3167093359169354,0.1020380276613088,-0.4384120306961343,0.2413043205049222,-0.1872582271571186,-0.129992923080305,47.83
coupang,Appliances,2024-05-01,30,121,48,ok,4.804021044733257,0.6249615911654498,-0.2121745199436358,0.9615463424629463,4.5169007092198585,0.089430894308943,0.0525362318840579,0.2133775566611387,-0.1900146537531166,0.5500111369434396,0.5723785112632639,-0.537596408959359,-0.6411024284330203,-0.6463298895714654,0.4168519363998362,-0.1451717647017028,0.0277653895802883,50.46
coupang,Appliances,2024-06-01,30,89,45,low_conf,4.499809670330265,0.6774594175515358,0.2876820724517812,0.960232293902285,4.356724770642202,0.1318681318681318,0.025943396226415,0.1940144478844169,0.0038542653601984,-0.9157733608744884,-0.700767740413108,-0.5195803897506326,0.7102022514739438,0.1082827034878259,0.1897884527102114,-0.1941866196357928,-0.136522543868557,47.72
coupang,Appliances,2024-07-01,30,97,47,low_conf,4.584967478670572,0.6336813161611813,-0.2231435513142101,0.9716229142310554,4.417803418803419,0.1111111111111111,0.0662698412698412,0.0813953488372093,-0.0504154091034656,0.3065489099555765,0.600316886762211,-0.6757493783146044,0.1949197200553575,-0.2608155262401223,0.5341166475015364,-0.9576255759954648,0.0559804774971111,50.93
coupang,Appliances,2024-08-01,30,124,57,ok,4.8283137373023015,0.6575379487513137,0.127155175485246,0.972684703433923,4.513076388888889,0.0873015873015873,0.0509803921568627,0.1588296760710554,-0.2054959882691427,-0.3595488054733059,-0.291902037178547,-0.6903068423590475,-0.6088390185439184,-0.684192907398651,0.403567366334886,-0.7487012409436813,-0.3255929634377868,44.57
coupang,Appliances,2024-09-01,30,109,55,ok,4.700480365792417,0.6478891534145889,-0.0540672212702757,0.9724770642201837,4.324674418604651,0.1351351351351351,-0.0987460815047021,0.2109164420485175,-0.1240298773787521,-0.0901461349098329,0.1696755806006442,-0.687460043408686,0.9805911194000152,0.1663760655594744,-0.8748752618918182,-0.5480670387104275,-0.1468149497427999,47.55
