platform,category,product_url,review_date,avg_rating,review_count,neg_count,neg_ratio,defect_count,transaction_count,usability_count,fit_count,complaint_count,complaint_ratio
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-12-22,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-12-18,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-12-17,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-12-15,5.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-11-11,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-10-19,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-10-12,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-09-03,4.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-08-14,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-08-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-07-31,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-06-18,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-06-12,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-05-14,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-05-03,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-05-02,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-04-05,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7606046296,2025-04-02,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-21,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-20,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-18,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-10,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-08,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-04,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-12-03,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-29,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-25,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-24,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-21,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-17,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-16,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-14,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-13,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-12,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-11,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-10,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8591315670,2025-11-05,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-12-05,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-11-28,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-11-18,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-10-19,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-08-13,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-05-12,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-03-11,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6564108253,2025-01-04,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
